="",="year",="YOB",="GDR",="Total",="Male",="Female",="Obsv_Total",="Obsv_Male",="Obsv_Female"
="r1",=".",=".",=".",=".",=".",=".",=".",=".",="."
"1","2005","1945","0","11.385","12.16389","10.6383","545","285","260"
"2","2005","1945","0","10.5494","10.67008","10.43372","505","250","255"
"3","2005","1945","0","8.919992","8.066581","9.738134","427","189","238"
"4","2005","1945","0","8.878212","8.749466","9.001637","425","205","220"
"5","2005","1945","0","8.502193","8.706786","8.306056","407","204","203"
"6","2005","1945","0","7.854606","7.469057","8.224223","376","175","201"
"7","2005","1945","0","8.752872","8.151942","9.328969","419","191","228"
"8","2005","1945","0","8.167955","8.834827","7.528642","391","207","184"
"9","2005","1945","0","8.502193","8.450704","8.551555","407","198","209"
"10","2005","1945","0","7.290579","7.426376","7.160393","349","174","175"
"11","2005","1945","0","5.264257","5.29236","5.237316","252","124","128"
"12","2005","1945","0","5.932734","6.017926","5.851064","284","141","143"
"1","2005","1946","0","5.867216","5.739665","5.995865","342","168","174"
"2","2005","1946","0","6.381884","6.525453","6.237078","372","191","181"
"3","2005","1946","0","8.080288","8.370345","7.787733","471","245","226"
"4","2005","1946","0","7.720021","7.687052","7.753274","450","225","225"
"5","2005","1946","0","9.109624","9.326956","8.89042","531","273","258"
"6","2005","1946","0","8.989535","9.190297","8.787043","524","269","255"
"7","2005","1946","0","8.85229","8.131192","9.5796","516","238","278"
"8","2005","1946","0","9.075313","9.053639","9.097174","529","265","264"
"9","2005","1946","0","9.349803","9.361121","9.338387","545","274","271"
"10","2005","1946","0","8.920913","8.575333","9.269469","520","251","269"
"11","2005","1946","0","9.058157","9.156133","8.959338","528","268","260"
"12","2005","1946","0","8.594956","8.882815","8.304618","501","260","241"
"1","2005","1947","0","8.458474","8.664373","8.260739","552","277","275"
"2","2005","1947","0","8.289917","8.070066","8.501051","541","258","283"
"3","2005","1947","0","9.255287","9.227401","9.282067","604","295","309"
"4","2005","1947","0","8.197977","8.3203","8.080505","535","266","269"
"5","2005","1947","0","9.056083","9.477635","8.651247","591","303","288"
"6","2005","1947","0","8.228624","8.070066","8.380895","537","258","279"
"7","2005","1947","0","8.106037","7.85111","8.350856","529","251","278"
"8","2005","1947","0","8.918173","8.633094","9.19195","582","276","306"
"9","2005","1947","0","8.734294","9.634032","7.870231","570","308","262"
"10","2005","1947","0","8.366534","7.85111","8.86152","546","251","295"
"11","2005","1947","0","6.972112","6.412261","7.509763","455","205","250"
"12","2005","1947","0","7.416488","7.788552","7.059177","484","249","235"
"1","2005","1948","0","8.867925","9.093559","8.644117","611","312","299"
"2","2005","1948","0","7.96807","7.898572","8.037005","549","271","278"
"3","2005","1948","0","8.476052","7.927718","9.019948","584","272","312"
"4","2005","1948","0","8.592163","8.4232","8.759757","592","289","303"
"5","2005","1948","0","8.026125","8.160886","7.892454","553","280","273"
"6","2005","1948","0","8.359942","8.335762","8.383926","576","286","290"
"7","2005","1948","0","8.214804","8.335762","8.094825","566","286","280"
"8","2005","1948","0","8.38897","8.27747","8.499566","578","284","294"
"9","2005","1948","0","8.853411","8.510638","9.193408","610","292","318"
"10","2005","1948","0","7.750363","8.044302","7.458803","534","276","258"
"11","2005","1948","0","8.577649","8.976975","8.181555","591","308","283"
"12","2005","1948","0","7.924528","8.015156","7.834634","546","275","271"
"1","2005","1949","0","9.435517","9.60961","9.259259","687","352","335"
"2","2005","1949","0","9.147095","9.69151","8.595909","666","355","311"
"3","2005","1949","0","8.899876","9.82801","7.960199","648","360","288"
"4","2005","1949","0","8.515314","7.998908","9.038143","620","293","327"
"5","2005","1949","0","8.844939","8.572209","9.121061","644","314","330"
"6","2005","1949","0","7.595111","7.234507","7.960199","553","265","288"
"7","2005","1949","0","7.924736","7.725908","8.126036","577","283","294"
"8","2005","1949","0","8.666392","8.271908","9.065782","631","303","328"
"9","2005","1949","0","8.103283","8.108108","8.098397","590","297","293"
"10","2005","1949","0","7.897267","7.644008","8.153676","575","280","295"
"11","2005","1949","0","7.306689","7.289107","7.324489","532","267","265"
"12","2005","1949","0","7.663782","8.026208","7.296849","558","294","264"
"1","2005","1950","0","8.856947","8.667959","9.041689","647","313","334"
"2","2005","1950","0","8.227242","8.086403","8.364916","601","292","309"
"3","2005","1950","0","9.650924","10.5234","8.798051","705","380","325"
"4","2005","1950","0","8.665298","8.944891","8.391987","633","323","310"
"5","2005","1950","0","8.158795","8.252562","8.067136","596","298","298"
"6","2005","1950","0","8.117728","8.141789","8.094207","593","294","299"
"7","2005","1950","0","8.487337","8.612573","8.364916","620","311","309"
"8","2005","1950","0","8.418891","8.169482","8.662696","615","295","320"
"9","2005","1950","0","7.967146","7.920244","8.012994","582","286","296"
"10","2005","1950","0","8.131417","7.227915","9.014618","594","261","333"
"11","2005","1950","0","7.52909","7.864857","7.200866","550","284","266"
"12","2005","1950","0","7.789185","7.587926","7.985923","569","274","295"
"1","2005","1951","0","9.355247","9.319826","9.388646","666","322","344"
"2","2005","1951","0","7.767945","7.756874","7.778384","553","268","285"
"3","2005","1951","0","8.737182","8.885673","8.597162","622","307","315"
"4","2005","1951","0","8.315775","8.191027","8.433406","592","283","309"
"5","2005","1951","0","8.596713","8.856729","8.351528","612","306","306"
"6","2005","1951","0","8.147212","8.509407","7.805677","580","294","286"
"7","2005","1951","0","8.568619","8.248915","8.870087","610","285","325"
"8","2005","1951","0","8.498385","8.509407","8.487991","605","294","311"
"9","2005","1951","0","8.091024","8.219971","7.969432","576","284","292"
"10","2005","1951","0","7.908414","7.554269","8.242358","563","261","302"
"11","2005","1951","0","7.304397","7.612156","7.014192","520","263","257"
"12","2005","1951","0","8.709088","8.335745","9.061135","620","288","332"
"1","2005","1952","0","9.148701","8.671012","9.603453","662","306","356"
"2","2005","1952","0","8.858485","9.039388","8.686269","641","319","322"
"3","2005","1952","0","9.314538","9.464438","9.171837","674","334","340"
"4","2005","1952","0","8.153676","8.444319","7.876989","590","298","292"
"5","2005","1952","0","9.328358","8.897705","9.738333","675","314","361"
"6","2005","1952","0","7.808181","7.905922","7.715134","565","279","286"
"7","2005","1952","0","8.015478","8.387645","7.661182","580","296","284"
"8","2005","1952","0","8.52681","8.189289","8.848125","617","289","328"
"9","2005","1952","0","8.126036","7.792576","8.443485","588","275","313"
"10","2005","1952","0","7.573245","7.650893","7.499326","548","270","278"
"11","2005","1952","0","7.808181","8.104279","7.526302","565","286","279"
"12","2005","1952","0","7.338308","7.452536","7.229566","531","263","268"
"1","2005","1953","0","9.104704","8.847795","9.346545","660","311","349"
"2","2005","1953","0","8.001104","7.965861","8.03428","580","280","300"
"3","2005","1953","0","9.035729","9.217639","8.864488","655","324","331"
"4","2005","1953","0","8.966754","8.933144","8.998393","650","314","336"
"5","2005","1953","0","8.277004","8.59175","7.980718","600","302","298"
"6","2005","1953","0","9.063319","8.733997","9.373326","657","307","350"
"7","2005","1953","0","9.008139","9.388336","8.650241","653","330","323"
"8","2005","1953","0","7.780384","7.823613","7.739689","564","275","289"
"9","2005","1953","0","8.125259","8.307255","7.953937","589","292","297"
"10","2005","1953","0","7.587253","8.108108","7.096947","550","285","265"
"11","2005","1953","0","7.435508","7.197724","7.659347","539","253","286"
"12","2005","1953","0","7.614843","6.88478","8.302089","552","242","310"
"1","2005","1954","0","8.533768","8.502927","8.563097","628","305","323"
"2","2005","1954","0","8.819133","8.781712","8.854719","649","315","334"
"3","2005","1954","0","8.941432","9.283524","8.616119","658","333","325"
"4","2005","1954","0","7.94945","7.889601","8.006363","585","283","302"
"5","2005","1954","0","9.294741","8.921104","9.650053","684","320","364"
"6","2005","1954","0","8.696834","8.725955","8.669141","640","313","327"
"7","2005","1954","0","8.085338","8.196264","7.979852","595","294","301"
"8","2005","1954","0","8.275581","8.586563","7.979852","609","308","301"
"9","2005","1954","0","8.669656","8.698076","8.64263","638","312","326"
"10","2005","1954","0","7.650496","7.19264","8.085896","563","258","305"
"11","2005","1954","0","7.473842","7.805966","7.158006","550","280","270"
"12","2005","1954","0","7.60973","7.415668","7.794274","560","266","294"
"1","2005","1955","0","8.996952","8.981876","9.011858","679","337","342"
"2","2005","1955","0","8.612694","8.395522","8.827404","650","315","335"
"3","2005","1955","0","9.182457","9.78145","8.59025","693","367","326"
"4","2005","1955","0","9.248708","9.035181","9.459816","698","339","359"
"5","2005","1955","0","8.665695","8.821962","8.511199","654","331","323"
"6","2005","1955","0","8.069432","8.128998","8.01054","609","305","304"
"7","2005","1955","0","7.711674","7.782516","7.641634","582","292","290"
"8","2005","1955","0","8.413939","8.15565","8.669302","635","306","329"
"9","2005","1955","0","8.00318","8.235608","7.773386","604","309","295"
"10","2005","1955","0","8.44044","8.182303","8.695652","637","307","330"
"11","2005","1955","0","7.380416","7.409382","7.351779","557","278","279"
"12","2005","1955","0","7.274414","7.089552","7.457181","549","266","283"
"1","2005","1956","0","8.401118","8.869123","7.932876","661","349","312"
"2","2005","1956","0","8.871378","9.199492","8.543097","698","362","336"
"3","2005","1956","0","9.21454","8.970775","9.458429","725","353","372"
"4","2005","1956","0","9.049314","9.555273","8.543097","712","376","336"
"5","2005","1956","0","8.795119","8.818297","8.77193","692","347","345"
"6","2005","1956","0","8.134215","8.310038","7.958302","640","327","313"
"7","2005","1956","0","7.625826","7.496823","7.754894","600","295","305"
"8","2005","1956","0","8.426538","8.437103","8.415967","663","332","331"
"9","2005","1956","0","8.248602","7.72554","8.77193","649","304","345"
"10","2005","1956","0","7.740214","7.72554","7.754894","609","304","305"
"11","2005","1956","0","8.146924","7.878018","8.415967","641","310","331"
"12","2005","1956","0","7.346213","7.013977","7.678617","578","276","302"
"1","2005","1957","0","9.154128","9.669992","8.65","724","378","346"
"2","2005","1957","0","8.43343","8.851369","8.025","667","346","321"
"3","2005","1957","0","8.86332","9.004861","8.725","701","352","349"
"4","2005","1957","0","8.079403","8.211819","7.95","639","321","318"
"5","2005","1957","0","8.585156","7.828089","9.325","679","306","373"
"6","2005","1957","0","7.801239","7.214121","8.375","617","282","335"
"7","2005","1957","0","8.319636","8.339729","8.3","658","326","332"
"8","2005","1957","0","8.028828","7.904835","8.15","635","309","326"
"9","2005","1957","0","8.382855","8.058327","8.7","663","315","348"
"10","2005","1957","0","8.066759","8.032745","8.1","638","314","324"
"11","2005","1957","0","7.965609","8.416475","7.525","630","329","301"
"12","2005","1957","0","8.319636","8.467639","8.175","658","331","327"
"1","2005","1958","0","9.129995","9.304104","8.958595","722","365","357"
"2","2005","1958","0","8.333333","7.927606","8.732748","659","311","348"
"3","2005","1958","0","9.597876","9.788427","9.410289","759","384","375"
"4","2005","1958","0","8.042489","8.106041","7.979925","636","318","318"
"5","2005","1958","0","8.712696","8.41193","9.008783","689","330","359"
"6","2005","1958","0","7.536672","7.800153","7.27729","596","306","290"
"7","2005","1958","0","7.599899","7.137395","8.055207","601","280","321"
"8","2005","1958","0","8.358624","8.564874","8.155583","661","336","325"
"9","2005","1958","0","8.219525","8.513892","7.929737","650","334","316"
"10","2005","1958","0","8.409206","8.386439","8.431619","665","329","336"
"11","2005","1958","0","7.473445","7.060923","7.879548","591","277","314"
"12","2005","1958","0","8.586242","8.998216","8.180678","679","353","326"
"1","2005","1959","0","9.383473","9.699389","9.065089","796","413","383"
"2","2005","1959","0","8.452199","8.66604","8.236686","717","369","348"
"3","2005","1959","0","8.817635","8.384218","9.254438","748","357","391"
"4","2005","1959","0","8.652599","8.61907","8.686391","734","367","367"
"5","2005","1959","0","8.676176","8.360733","8.994083","736","356","380"
"6","2005","1959","0","7.957091","8.5721","7.337278","675","365","310"
"7","2005","1959","0","8.746906","8.759981","8.733728","742","373","369"
"8","2005","1959","0","8.298951","7.961484","8.639053","704","339","365"
"9","2005","1959","0","8.310739","8.478159","8.142012","705","361","344"
"10","2005","1959","0","7.461983","7.468295","7.455621","633","318","315"
"11","2005","1959","0","7.438406","7.538751","7.337278","631","321","310"
"12","2005","1959","0","7.803843","7.49178","8.118343","662","319","343"
"1","2005","1960","0","8.95967","8.790192","9.125993","782","380","402"
"2","2005","1960","0","8.971127","8.674532","9.262202","783","375","408"
"3","2005","1960","0","9.120073","9.368494","8.876277","796","405","391"
"4","2005","1960","0","8.673236","8.582003","8.76277","757","371","386"
"5","2005","1960","0","8.558662","8.396947","8.717367","747","363","384"
"6","2005","1960","0","8.26077","8.049965","8.46765","721","348","373"
"7","2005","1960","0","7.905591","7.980569","7.832009","690","345","345"
"8","2005","1960","0","8.52429","8.512607","8.535755","744","368","376"
"9","2005","1960","0","7.82539","7.749248","7.900114","683","335","348"
"10","2005","1960","0","7.653529","7.934305","7.37798","668","343","325"
"11","2005","1960","0","7.470211","7.309739","7.627696","652","316","336"
"12","2005","1960","0","8.077452","8.651399","7.514188","705","374","331"
"1","2005","1961","0","9.443294","9.835686","9.055568","821","425","396"
"2","2005","1961","0","8.511617","8.470262","8.552481","740","366","374"
"3","2005","1961","0","9.05222","8.516547","9.581523","787","368","419"
"4","2005","1961","0","8.68415","9.025688","8.346673","755","390","365"
"5","2005","1961","0","8.350587","8.285119","8.415276","726","358","368"
"6","2005","1961","0","8.109041","8.169405","8.049394","705","353","352"
"7","2005","1961","0","7.752473","7.937977","7.569174","674","343","331"
"8","2005","1961","0","8.247067","7.706549","8.781157","717","333","384"
"9","2005","1961","0","8.362089","8.030548","8.689687","727","347","380"
"10","2005","1961","0","8.661146","8.747975","8.575349","753","378","375"
"11","2005","1961","0","7.292386","7.405693","7.180425","634","320","314"
"12","2005","1961","0","7.533931","7.868549","7.203293","655","340","315"
"1","2005","1962","0","8.630559","8.993767","8.275261","784","404","380"
"2","2005","1962","0","8.619551","8.437222","8.797909","783","379","404"
"3","2005","1962","0","9.36812","9.149599","9.581882","851","411","440"
"4","2005","1962","0","8.399384","8.058771","8.732578","763","362","401"
"5","2005","1962","0","9.004844","9.082814","8.928571","818","408","410"
"6","2005","1962","0","8.432409","8.682102","8.188153","766","390","376"
"7","2005","1962","0","8.179216","8.481745","7.883275","743","381","362"
"8","2005","1962","0","8.179216","8.348175","8.013937","743","375","368"
"9","2005","1962","0","8.179216","8.437222","7.926829","743","379","364"
"10","2005","1962","0","7.760898","7.747106","7.77439","705","348","357"
"11","2005","1962","0","7.21048","6.901158","7.513066","655","310","345"
"12","2005","1962","0","8.036107","7.680321","8.384146","730","345","385"
"1","2005","1963","0","8.855011","9.012876","8.694705","819","420","399"
"2","2005","1963","0","8.541464","8.88412","8.193506","790","414","376"
"3","2005","1963","0","10.07677","10.02146","10.13293","932","467","465"
"4","2005","1963","0","8.552276","8.476395","8.629331","791","395","396"
"5","2005","1963","0","8.855011","8.798283","8.912617","819","410","409"
"6","2005","1963","0","8.260352","7.961373","8.563957","764","371","393"
"7","2005","1963","0","8.68202","8.60515","8.760078","803","401","402"
"8","2005","1963","0","7.903557","8.369099","7.430813","731","390","341"
"9","2005","1963","0","8.163045","7.811159","8.520375","755","364","391"
"10","2005","1963","0","7.935993","7.939914","7.932011","734","370","364"
"11","2005","1963","0","7.114283","6.866953","7.365439","658","320","338"
"12","2005","1963","0","7.060223","7.253219","6.864241","653","338","315"
"1","2005","1964","0","8.675947","8.945346","8.400611","804","419","385"
"2","2005","1964","0","9.603971","9.543126","9.666158","890","447","443"
"3","2005","1964","0","8.827021","8.966695","8.684268","818","420","398"
"4","2005","1964","0","8.81623","9.265585","8.356971","817","434","383"
"5","2005","1964","0","8.805439","8.753202","8.858826","816","410","406"
"6","2005","1964","0","8.201144","7.94193","8.46607","760","372","388"
"7","2005","1964","0","8.233517","8.219471","8.247873","763","385","378"
"8","2005","1964","0","7.909787","7.621691","8.204233","733","357","376"
"9","2005","1964","0","8.201144","7.749787","8.662448","760","363","397"
"10","2005","1964","0","8.028488","8.304868","7.746018","744","389","355"
"11","2005","1964","0","7.16521","6.853117","7.484181","664","321","343"
"12","2005","1964","0","7.532103","7.835184","7.222343","698","367","331"
"1","2005","1965","0","8.97035","8.954276","8.987036","832","423","409"
"2","2005","1965","0","8.58221","8.19221","8.987036","796","387","409"
"3","2005","1965","0","9.056604","8.911939","9.206768","840","421","419"
"4","2005","1965","0","8.226415","7.62066","8.855197","763","360","403"
"5","2005","1965","0","9.110512","9.271804","8.943089","845","438","407"
"6","2005","1965","0","8.118598","7.874682","8.371786","753","372","381"
"7","2005","1965","0","8.603774","9.017782","8.174028","798","426","372"
"8","2005","1965","0","8.075472","8.001693","8.152054","749","378","371"
"9","2005","1965","0","8.237197","8.700254","7.756537","764","411","353"
"10","2005","1965","0","7.579515","7.684166","7.470886","703","363","340"
"11","2005","1965","0","8.161725","8.382727","7.932323","757","396","361"
"12","2005","1965","0","7.277628","7.387807","7.163261","675","349","326"
"1","2005","1966","0","9.083936","9.572347","8.606113","829","432","397"
"2","2005","1966","0","8.744247","8.66386","8.822892","798","391","407"
"3","2005","1966","0","8.974359","8.841126","9.104704","819","399","420"
"4","2005","1966","0","8.579882","8.486594","8.671147","783","383","400"
"5","2005","1966","0","8.678501","8.752493","8.606113","792","395","397"
"6","2005","1966","0","8.481262","8.265012","8.692825","774","373","401"
"7","2005","1966","0","8.229235","7.600266","8.84457","751","343","408"
"8","2005","1966","0","8.086785","8.220696","7.955777","738","371","367"
"9","2005","1966","0","8.174447","8.575227","7.782354","746","387","359"
"10","2005","1966","0","8.031996","8.442278","7.630609","733","381","352"
"11","2005","1966","0","7.659435","7.600266","7.717321","699","343","356"
"12","2005","1966","0","7.275915","6.979836","7.565576","664","315","349"
"1","2005","1967","0","8.589631","8.853119","8.335133","782","396","386"
"2","2005","1967","0","8.622583","8.405992","8.831786","785","376","409"
"3","2005","1967","0","8.754394","8.897831","8.61585","797","398","399"
"4","2005","1967","0","8.688489","9.009613","8.37832","791","403","388"
"5","2005","1967","0","9.061951","8.875475","9.242064","825","397","428"
"6","2005","1967","0","8.095343","7.735301","8.443101","737","346","391"
"7","2005","1967","0","8.53471","8.271853","8.788599","777","370","407"
"8","2005","1967","0","8.018453","8.450704","7.60095","730","378","352"
"9","2005","1967","0","7.809754","7.780013","7.83848","711","348","363"
"10","2005","1967","0","8.139279","7.958864","8.313539","741","356","385"
"11","2005","1967","0","7.974517","7.712944","8.227165","726","345","381"
"12","2005","1967","0","7.710896","8.04829","7.385014","702","360","342"
"1","2005","1968","0","9.193378","9.257541","9.127644","783","399","384"
"2","2005","1968","0","9.075966","8.886311","9.270264","773","383","390"
"3","2005","1968","0","8.817659","9.071926","8.557167","751","391","360"
"4","2005","1968","0","8.946812","9.303944","8.580937","762","401","361"
"5","2005","1968","0","8.559352","8.561485","8.557167","729","369","360"
"6","2005","1968","0","8.16015","8.236659","8.081768","695","355","340"
"7","2005","1968","0","8.312786","7.958237","8.676016","708","343","365"
"8","2005","1968","0","7.737466","7.610209","7.867839","659","328","331"
"9","2005","1968","0","8.676764","8.538283","8.818636","739","368","371"
"10","2005","1968","0","7.713984","7.447796","7.986689","657","321","336"
"11","2005","1968","0","7.420453","7.726218","7.107202","632","333","299"
"12","2005","1968","0","7.38523","7.401392","7.368671","629","319","310"
"1","2005","1969","0","9.053044","9.117575","8.988212","739","373","366"
"2","2005","1969","0","8.465025","8.237595","8.693517","691","337","354"
"3","2005","1969","0","9.163298","9.582009","8.742633","748","392","356"
"4","2005","1969","0","8.955041","8.726473","9.184676","731","357","374"
"5","2005","1969","0","8.538528","8.408702","8.668959","697","344","353"
"6","2005","1969","0","8.109764","8.408702","7.80943","662","344","318"
"7","2005","1969","0","8.62428","8.384258","8.865422","704","343","361"
"8","2005","1969","0","8.183266","8.310926","8.05501","668","340","328"
"9","2005","1969","0","8.330271","8.433146","8.226916","680","345","335"
"10","2005","1969","0","8.122014","8.45759","7.784872","663","346","317"
"11","2005","1969","0","7.37474","7.284283","7.465619","602","298","304"
"12","2005","1969","0","7.08073","6.648741","7.514735","578","272","306"
"1","2005","1970","0","9.095675","9.65864","8.543236","694","365","329"
"2","2005","1970","0","8.401048","8.653083","8.153726","641","327","314"
"3","2005","1970","0","9.056356","8.600159","9.504025","691","325","366"
"4","2005","1970","0","8.925295","9.102937","8.750974","681","344","337"
"5","2005","1970","0","8.348624","8.653083","8.049857","637","327","310"
"6","2005","1970","0","8.794233","8.997089","8.59517","671","340","331"
"7","2005","1970","0","9.200524","8.891241","9.504025","702","336","366"
"8","2005","1970","0","7.798165","7.409368","8.179694","595","280","315"
"9","2005","1970","0","7.732634","8.203228","7.270839","590","310","280"
"10","2005","1970","0","7.195282","6.906589","7.478577","549","261","288"
"11","2005","1970","0","7.391874","7.621064","7.16697","564","288","276"
"12","2005","1970","0","8.060288","7.303519","8.802908","615","276","339"
"1","2005","1971","0","8.233276","7.804604","8.677927","576","278","298"
"2","2005","1971","0","8.24757","8.001123","8.503203","577","285","292"
"3","2005","1971","0","9.519726","9.348681","9.697146","666","333","333"
"4","2005","1971","0","8.962264","9.573273","8.32848","627","341","286"
"5","2005","1971","0","9.27673","9.629422","8.910891","649","343","306"
"6","2005","1971","0","8.390509","9.067939","7.687828","587","323","264"
"7","2005","1971","0","8.704974","8.338012","9.085614","609","297","312"
"8","2005","1971","0","7.561464","7.215048","7.920792","529","257","272"
"9","2005","1971","0","8.276158","8.366086","8.182877","579","298","281"
"10","2005","1971","0","7.747284","8.113419","7.367501","542","289","253"
"11","2005","1971","0","7.890223","7.832678","7.949913","552","279","273"
"12","2005","1971","0","7.189823","6.709714","7.687828","503","239","264"
"1","2005","1972","0","9.551833","9.520903","9.58209","633","312","321"
"2","2005","1972","0","8.601177","8.605432","8.597015","570","282","288"
"3","2005","1972","0","8.797344","9.215746","8.38806","583","302","281"
"4","2005","1972","0","8.616267","8.574916","8.656716","571","281","290"
"5","2005","1972","0","8.616267","7.995117","9.223881","571","262","309"
"6","2005","1972","0","7.982496","7.720476","8.238806","529","253","276"
"7","2005","1972","0","8.042855","8.208727","7.880597","533","269","264"
"8","2005","1972","0","8.555908","8.361306","8.746269","567","274","293"
"9","2005","1972","0","7.846688","8.178212","7.522388","520","268","252"
"10","2005","1972","0","8.299381","8.513885","8.089552","550","279","271"
"11","2005","1972","0","7.197827","7.201709","7.19403","477","236","241"
"12","2005","1972","0","7.891957","7.90357","7.880597","523","259","264"
"1","2005","1973","0","9.438391","8.849862","9.996733","563","257","306"
"2","2005","1973","0","8.130763","8.298898","7.971251","485","241","244"
"3","2005","1973","0","9.153395","8.987603","9.310683","546","261","285"
"4","2005","1973","0","8.516345","8.712121","8.330611","508","253","255"
"5","2005","1973","0","8.53311","8.608815","8.461287","509","250","259"
"6","2005","1973","0","8.080469","8.333333","7.840575","482","242","240"
"7","2005","1973","0","9.28751","9.366391","9.212676","554","272","282"
"8","2005","1973","0","8.499581","8.677686","8.330611","507","252","255"
"9","2005","1973","0","8.482816","8.161157","8.787978","506","237","269"
"10","2005","1973","0","7.409891","7.059229","7.742568","442","205","237"
"11","2005","1973","0","7.208718","7.506887","6.925841","430","218","212"
"12","2005","1973","0","7.259011","7.438017","7.089187","433","216","217"
"1","2005","1974","0","8.662078","8.86032","8.476778","516","255","261"
"2","2005","1974","0","8.175256","8.165393","8.184475","487","235","252"
"3","2005","1974","0","9.400705","9.728978","9.093862","560","280","280"
"4","2005","1974","0","9.266409","9.173037","9.353686","552","264","288"
"5","2005","1974","0","9.367131","8.999305","9.710945","558","259","299"
"6","2005","1974","0","7.470203","7.018763","7.892173","445","202","243"
"7","2005","1974","0","8.175256","7.991661","8.346866","487","230","257"
"8","2005","1974","0","8.141682","8.304378","7.989607","485","239","246"
"9","2005","1974","0","8.712439","9.034051","8.411822","519","260","259"
"10","2005","1974","0","7.638073","7.991661","7.307567","455","230","225"
"11","2005","1974","0","7.268759","6.810285","7.697304","433","196","237"
"12","2005","1974","0","7.722008","7.922168","7.534914","460","228","232"
"1","2005","1975","0","8.94683","9.261151","8.631866","525","272","253"
"2","2005","1975","0","7.583504","7.728975","7.437735","445","227","218"
"3","2005","1975","0","9.287662","9.295199","9.280109","545","273","272"
"4","2005","1975","0","8.640082","8.409942","8.870693","507","247","260"
"5","2005","1975","0","8.486708","8.546136","8.427158","498","251","247"
"6","2005","1975","0","8.009543","7.899217","8.120096","470","232","238"
"7","2005","1975","0","8.759373","8.512087","9.007165","514","250","264"
"8","2005","1975","0","8.435583","8.137555","8.73422","495","239","256"
"9","2005","1975","0","8.503749","9.022812","7.983623","499","265","234"
"10","2005","1975","0","8.060668","7.388492","8.73422","473","217","256"
"11","2005","1975","0","7.532379","7.694927","7.369498","442","226","216"
"12","2005","1975","0","7.75392","8.103507","7.403617","455","238","217"
"1","2005","1976","0","8.743078","8.992195","8.499336","521","265","256"
"2","2005","1976","0","7.971136","7.83848","8.10093","475","231","244"
"3","2005","1976","0","8.810203","8.6868","8.930943","525","256","269"
"4","2005","1976","0","8.172512","8.381405","7.968127","487","247","240"
"5","2005","1976","0","8.625608","8.720733","8.532537","514","257","257"
"6","2005","1976","0","7.971136","7.567017","8.366534","475","223","252"
"7","2005","1976","0","8.575264","8.585002","8.565737","511","253","258"
"8","2005","1976","0","8.793422","8.92433","8.665339","524","263","261"
"9","2005","1976","0","8.743078","8.822531","8.665339","521","260","261"
"10","2005","1976","0","8.306763","8.177808","8.432935","495","241","254"
"11","2005","1976","0","7.836885","7.770614","7.901726","467","229","238"
"12","2005","1976","0","7.450915","7.533084","7.370518","444","222","222"
"1","2005","1977","0","8.222765","7.885431","8.551724","471","223","248"
"2","2005","1977","0","8.170391","8.203678","8.137931","468","232","236"
"3","2005","1977","0","8.589385","9.193777","8","492","260","232"
"4","2005","1977","0","8.030726","7.885431","8.172414","460","223","237"
"5","2005","1977","0","8.502095","9.016973","8","487","255","232"
"6","2005","1977","0","8.432263","7.956153","8.896552","483","225","258"
"7","2005","1977","0","9.060754","9.299859","8.827586","519","263","256"
"8","2005","1977","0","8.083101","8.698727","7.482759","463","246","217"
"9","2005","1977","0","8.798883","8.415842","9.172414","504","238","266"
"10","2005","1977","0","8.64176","8.628006","8.655172","495","244","251"
"11","2005","1977","0","7.175279","7.107496","7.241379","411","201","210"
"12","2005","1977","0","8.292598","7.708628","8.862069","475","218","257"
"1","2005","1978","0","8.288591","8.161889","8.414023","494","242","252"
"2","2005","1978","0","7.869128","8.634064","7.111853","469","256","213"
"3","2005","1978","0","8.52349","8.263069","8.781302","508","245","263"
"4","2005","1978","0","8.40604","8.532884","8.280467","501","253","248"
"5","2005","1978","0","9.043624","8.870152","9.215359","539","263","276"
"6","2005","1978","0","8.808725","9.173693","8.447412","525","272","253"
"7","2005","1978","0","8.489933","8.330523","8.647746","506","247","259"
"8","2005","1978","0","8.590604","8.330523","8.84808","512","247","265"
"9","2005","1978","0","8.573826","8.46543","8.681135","511","251","260"
"10","2005","1978","0","8.892617","8.937605","8.84808","530","265","265"
"11","2005","1978","0","7.114094","6.812816","7.412354","424","202","222"
"12","2005","1978","0","7.399329","7.487352","7.312187","441","222","219"
"1","2005","1979","0","8.68319","8.797554","8.570472","515","259","256"
"2","2005","1979","0","7.435508","6.929348","7.934382","441","204","237"
"3","2005","1979","0","8.345979","9.205163","7.499163","495","271","224"
"4","2005","1979","0","8.278537","7.982337","8.570472","491","235","256"
"5","2005","1979","0","9.256449","9.103261","9.407432","549","268","281"
"6","2005","1979","0","8.042489","7.642663","8.436558","477","225","252"
"7","2005","1979","0","8.868656","9.307065","8.436558","526","274","252"
"8","2005","1979","0","8.413421","8.45788","8.369602","499","249","250"
"9","2005","1979","0","8.615748","7.744565","9.474389","511","228","283"
"10","2005","1979","0","8.261676","8.186141","8.336123","490","241","249"
"11","2005","1979","0","7.705277","7.710598","7.700033","457","227","230"
"12","2005","1979","0","8.09307","8.933424","7.264814","480","263","217"
"1","2005","1980","0","8.356676","8.307308","8.405707","537","266","271"
"2","2005","1980","0","7.920946","8.369769","7.475186","509","268","241"
